dataset,num_and_cat,explain_instance,rule_lux_ablation,rule_lux_pure,rule_lux_proba,rule_lux_shap,rule_EXPLAN,rule_LORE,rule_Anchor
yeast,./data/numerical_only/balanced,"[[-0.87518135  1.45353264 -0.69290133  1.3776873  -0.09759001 -0.0991314
   0.52121948 -0.5279193 ]]","{'mit': ['>=0.5021035820245743'], 'mcg': ['<-0.5473197400569916'], 'nuc': ['<0.1766061056405306'], 'alm': ['<0.28815796971321106', '>=-0.9814481735229492']}",{},{},"{'mit': ['>=0.47291745245456696'], 'mcg': ['<1.4198498725891113', '>=-1.0178066492080688', '>= -0.6945320951603577 * gvh+-0.7831529333251267'], 'nuc': ['<0.14137982577085495'], 'alm': ['>=-1.7547537088394165'], 'pox': ['>=-1.0954520106315613']}",{},"{'gvh': ['>=0.6670279800891876'], 'mit': ['>=1.3412046432495117'], 'mcg': ['<1.5291370749473572', '>=-1.2394720315933228']}",{}
yeast,./data/numerical_only/balanced,"[[-8.83724011e-04 -8.01776479e-02  2.30448607e-01 -4.46445421e-01
  -9.75900073e-02 -9.91313957e-02 -1.20956976e+00  2.29018231e+00]]","{'alm': ['>=-0.8083200752735138'], 'mcg': ['<0.5455522835254669']}",{},{},"{'mit': ['<1.8398008942604065'], 'vac': ['<0.8289153575897217'], 'nuc': ['>=0.884610652923584'], 'pox': ['< 2.0393763203165785 * alm+1.8430607419768221', '>=-0.11408333852887154']}",{},"{'mcg': ['<2.2212893962860107'], 'nuc': ['>=-0.1688791662454605'], 'gvh': ['<2.4642101526260376', '>=-1.62931489944458'], 'alm': ['>=-0.8651540279388428']}",{}
yeast,./data/numerical_only/balanced,"[[-1.46599994e-01  5.65595103e-01 -3.88877164e-04 -1.24906382e+00
  -9.75900073e-02 -9.91313957e-02  3.48140558e-01  1.35081510e+00]]","{'alm': ['>=-0.058098249923205'], 'nuc': ['>=0.36447954177856445']}",{},{},"{'erl': ['>=-1.2137115001678467'], 'mcg': ['<1.1268334984779358'], 'gvh': ['>=-0.23284675180912018'], 'nuc': ['>=0.3440585136413574'], 'alm': ['>=-1.1671218276023865'], 'pox': ['<4.354598045349121']}",{},"{'alm': ['>=-1.154576301574707'], 'nuc': ['>=0.5057919323444366'], 'gvh': ['>=-0.5368698537349701']}",{}
yeast,./data/numerical_only/balanced,"[[-1.31233016 -0.40306402 -1.26999504 -0.88423727 -0.09759001 -0.0991314
  -0.86341191 -0.5279193 ]]",{'alm': ['<-0.635191947221756']},{},{},{},{},"{'alm': ['<-0.6614572703838348'], 'mit': ['<0.6845168769359589'], 'mcg': ['<0.689409613609314']}",{}
yeast,./data/numerical_only/balanced,"[[ 0.94627203  0.40415192  0.34586735  1.81547915 -0.09759001 -0.0991314
   0.86737733 -0.5279193 ]]",{'mit': ['>=0.5385862290859222']},{},{},"{'nuc': ['<0.2631448656320572', '>=-1.0445712804794312'], 'pox': ['>=-2.7741055488586426'], 'mit': ['>=1.279680609703064']}",{},"{'erl': ['<5.749262034893036'], 'mit': ['>=0.7827740609645844'], 'nuc': ['<0.52574123442173'], 'alm': ['>=-2.3510167598724365']}",{}
yeast,./data/numerical_only/balanced,"[[-0.65660694  0.16198713  0.34586735  1.08582606 -0.09759001 -0.0991314
  -1.90188545  0.50538462]]","{'nuc': ['>=-0.011267341673374176'], 'mit': ['<1.2682393193244934']}",{},{},"{'nuc': ['>=-0.18633122742176056'], 'mit': ['<1.4075183868408203', '>=0.7209995090961456'], 'mcg': ['<1.7328087091445923']}",{},"{'mit': ['<1.6686144471168518'], 'mcg': ['<0.24405000358819962'], 'nuc': ['>=-0.07429956458508968'], 'alm': ['<0.5227735936641693', '>=-1.1528308987617493'], 'pox': ['<1.364510953426361']}",{}
yeast,./data/numerical_only/balanced,"[[ 0.58198136 -0.16089924  0.11502987  1.52361792 -0.09759001 -0.0991314
   0.86737733 -0.5279193 ]]","{'nuc': ['<0.36447954177856445'], 'mit': ['>=0.5385862290859222'], 'gvh': ['>=-1.0084759593009949']}",{},{},"{'mit': ['>=1.2043946981430054'], 'gvh': ['>=-1.6984533667564392'], 'nuc': ['<0.030668693594634533', '>=-1.0445712804794312'], 'pox': ['>= -1.291802782480392 * gvh+-2.443619823827696']}",{},"{'mit': ['>=0.7574821710586548'], 'mcg': ['<2.694867253303528', '>=-1.0409769415855408'], 'vac': ['>=-1.9570093154907227'], 'nuc': ['<1.3389188647270203'], 'alm': ['>=-1.6107730269432068']}",{}
yeast,./data/numerical_only/balanced,"[[-0.29231626 -1.21027996  0.34586735 -0.73830666 -0.09759001 -0.0991314
   0.17506163  0.12963774]]","{'mcg': ['<-0.18302906304597855'], 'nuc': ['>=-0.10520405881106853'], 'gvh': ['<-0.36270321905612946']}",{},{},"{'erl': ['<0.6877285242080688'], 'mcg': ['<0.16383901983499527'], 'vac': ['<1.1081827878952026'], 'gvh': ['<-0.6540029048919678'], 'nuc': ['>=-0.3992668390274048'], 'alm': ['<0.40357671678066254', '>=-0.7380651831626892']}",{},"{'erl': ['<0.6690710932016373'], 'mit': ['<1.2230616807937622'], 'mcg': ['<0.1268654577434063'], 'vac': ['<1.1460142135620117'], 'gvh': ['<-0.6698204576969147'], 'nuc': ['>=-0.3280090093612671'], 'alm': ['>=-0.8291638493537903'], 'pox': ['<0.6801125109195709']}",{}
yeast,./data/numerical_only/balanced,"[[-0.5837488  -1.77533112  0.80754232 -0.59237604 -0.09759001 -0.0991314
  -1.38264868 -0.5279193 ]]","{'nuc': ['<-0.4809509366750717'], 'mit': ['<0.10079439682886004'], 'gvh': ['<-1.4120839834213257']}",{},{},"{'erl': ['<0.44279645383358'], 'mit': ['<0.4481092691421509'], 'mcg': ['<0.622781902551651'], 'gvh': ['<-1.08919757604599'], 'alm': ['>=-0.6882845759391785'], 'nuc': ['<-0.4809509366750717', '>= 0.3023663351841099 * mit+-0.6864191895637104']}",{},"{'mit': ['<0.722735196352005'], 'mcg': ['<0.7667841911315918'], 'nuc': ['>=-0.9541561007499695'], 'gvh': ['<-1.4664493203163147'], 'alm': ['>=-0.93970987200737'], 'pox': ['<0.17794443666934967']}",{}
yeast,./data/numerical_only/balanced,"[[-0.14659999 -0.64522881  0.23044861 -0.15458419 -0.09759001 -0.0991314
   1.04045625 -0.5279193 ]]","{'nuc': ['<-0.10520405881106853'], 'alm': ['>=-0.635191947221756']}",{},{},"{'mit': ['<0.3033016175031662'], 'gvh': ['>=-1.3313623666763306'], 'nuc': ['<-0.06410674564540386'], 'alm': ['<1.2115079164505005', '>=-0.6910979151725769'], 'pox': ['<5.786795139312744']}",{},"{'mit': ['<-0.1367802619934082'], 'vac': ['>=-0.7666238248348236'], 'gvh': ['<2.3603315353393555'], 'nuc': ['<0.08872689120471478'], 'alm': ['<1.3710306286811829', '>=-0.7989907562732697']}",{}
