dataset,num_and_cat,explain_instance,rule_lux_ablation,rule_lux_pure,rule_lux_proba,rule_lux_shap,rule_EXPLAN,rule_LORE,rule_Anchor
yeast,./data/numerical_only/balanced,"[[-0.87518135  1.45353264 -0.69290133  1.3776873  -0.09759001 -0.0991314
   0.52121948 -0.5279193 ]]","{'mit': ['>=1.1223087310791016'], 'mcg': ['<-0.802323192358017'], 'alm': ['>=-0.8660294413566589']}",{},{},"{'mit': ['>=1.270044207572937'], 'mcg': ['<0.7276976406574249'], 'nuc': ['<0.7210120856761932'], 'alm': ['<0.17273923382163048', '>=-0.9176809191703796']}",{},"{'mit': ['>=0.879096120595932'], 'nuc': ['<-0.22084347158670425', '>=-1.0021715760231018'], 'alm': ['>=-1.1552440524101257']}",{}
yeast,./data/numerical_only/balanced,"[[-8.83724011e-04 -8.01776479e-02  2.30448607e-01 -4.46445421e-01
  -9.75900073e-02 -9.91313957e-02 -1.20956976e+00  2.29018231e+00]]","{'gvh': ['<0.4445127099752426', '>=-0.2819816321134567'], 'mcg': ['<0.18126161396503448', '>=-0.03731279235216789'], 'alm': ['<0.40357671678066254', '>=-0.8083200752735138']}",{},{},"{'vac': ['<0.666482150554657'], 'mit': ['<1.2890865802764893'], 'gvh': ['>=-0.12053844332695007'], 'nuc': ['>=1.3549532890319824'], 'alm': ['>=-0.7484497725963593']}",{},"{'mit': ['<1.4363791346549988'], 'mcg': ['<1.657875120639801'], 'nuc': ['>=0.3374820500612259'], 'alm': ['>=-0.7634212076663971']}",{}
yeast,./data/numerical_only/balanced,"[[-1.46599994e-01  5.65595103e-01 -3.88877164e-04 -1.24906382e+00
  -9.75900073e-02 -9.91313957e-02  3.48140558e-01  1.35081510e+00]]","{'mit': ['<-0.11810152977705002'], 'nuc': ['<1.3977834582328796', '>=0.5523529946804047'], 'gvh': ['>=-0.8470327854156494'], 'vac': ['>=0.08852216915693134'], 'alm': ['>=-0.7506106793880463']}",{},{},"{'nuc': ['>=1.2355291247367859'], 'mcg': ['<1.4319929480552673'], 'alm': ['>=-0.7667868137359619']}",{},"{'mit': ['<1.2518005967140198'], 'mcg': ['<1.5879995226860046'], 'gvh': ['>=-0.06210360303521156'], 'nuc': ['>=0.35346947610378265'], 'alm': ['>=-0.7888213694095612']}",{}
yeast,./data/numerical_only/balanced,"[[-1.31233016 -0.40306402 -1.26999504 -0.88423727 -0.09759001 -0.0991314
  -0.86341191 -0.5279193 ]]","{'mit': ['<0.027829087805002928'], 'gvh': ['>=-0.8470327854156494'], 'alm': ['<-0.7506106793880463']}",{},{},"{'mcg': ['<1.2837201952934265'], 'alm': ['<-1.1611508131027222', '>=-1.3277044296264648']}",{},"{'mit': ['<1.0101697146892548'], 'mcg': ['<0.569478303194046'], 'alm': ['<-0.7653506696224213']}",{}
yeast,./data/numerical_only/balanced,"[[ 0.94627203  0.40415192  0.34586735  1.81547915 -0.09759001 -0.0991314
   0.86737733 -0.5279193 ]]","{'mit': ['>=1.1952740550041199'], 'gvh': ['>=-0.03981685190228745']}",{},{},"{'mit': ['>=0.4812563508749008'], 'gvh': ['<0.5655951052904129'], 'mcg': ['<1.7106507420539856', '>=0.9098429679870605']}",{},"{'mit': ['>=0.6419195234775543'], 'mcg': ['>=-1.6263496279716492'], 'nuc': ['<2.478055715560913'], 'vac': ['>=-2.1615039110183716']}",{}
yeast,./data/numerical_only/balanced,"[[-0.65660694  0.16198713  0.34586735  1.08582606 -0.09759001 -0.0991314
  -1.90188545  0.50538462]]","{'mcg': ['<0.5091232359409332'], 'gvh': ['>=-0.5241464078426361'], 'nuc': ['>=-0.011267341673374176'], 'alm': ['<0.9229610562324524', '>=0.28815796971321106']}",{},{},"{'mit': ['<1.1948413848876953'], 'nuc': ['<1.6417158842086792']}",{},"{'vac': ['<-0.7611813247203827'], 'mit': ['>=1.0457630157470703'], 'gvh': ['<1.3185787200927734'], 'nuc': ['>=0.13491547666490078'], 'alm': ['<0.6166961789131165', '>=-0.8041693270206451']}",{}
yeast,./data/numerical_only/balanced,"[[ 0.58198136 -0.16089924  0.11502987  1.52361792 -0.09759001 -0.0991314
   0.86737733 -0.5279193 ]]","{'mit': ['>=1.4871352314949036'], 'vac': ['>=0.6077589392662048']}",{},{},"{'mit': ['<1.8519617915153503', '>=1.3058208227157593'], 'vac': ['>=-0.08455675526056439'], 'alm': ['>=-0.8010194897651672']}",{},"{'mit': ['>=1.463712990283966'], 'gvh': ['>=-0.9277544021606445'], 'nuc': ['<1.638720691204071'], 'alm': ['>=-1.4145070314407349']}",{}
yeast,./data/numerical_only/balanced,"[[-0.29231626 -1.21027996  0.34586735 -0.73830666 -0.09759001 -0.0991314
   0.17506163  0.12963774]]","{'mit': ['<-0.7018239796161652'], 'gvh': ['<-1.08919757604599'], 'vac': ['<0.6942984163761139', '>=0.08852216915693134']}",{},{},"{'mit': ['>=-0.7612771987915039'], 'mcg': ['<-0.09667868167161942'], 'nuc': ['>=-0.2930774986743927'], 'gvh': ['<-0.7349194884300232'], 'vac': ['>=-0.17109621001873165'], 'alm': ['>=0.20506716519594193']}",{},"{'mit': ['>=-0.7747893035411835'], 'mcg': ['<0.6220190823078156'], 'gvh': ['<-0.7782124876976013'], 'nuc': ['>=-0.2839898020029068'], 'alm': ['>=-0.058098249923205']}",{}
yeast,./data/numerical_only/balanced,"[[-0.5837488  -1.77533112  0.80754232 -0.59237604 -0.09759001 -0.0991314
  -1.38264868 -0.5279193 ]]","{'mit': ['<0.1372770518064499'], 'nuc': ['<-0.1991407796740532'], 'gvh': ['<-1.0084760189056396'], 'vac': ['<0.08852216915693134'], 'alm': ['<1.0960891842842102']}",{},{},"{'mit': ['<0.1815774142742157'], 'mcg': ['<0.6522374153137207'], 'nuc': ['>=-0.6638803482055664'], 'gvh': ['<-1.3809788227081299'], 'vac': ['<0.28632666170597076'], 'alm': ['<0.9806704223155975', '>=-0.7341223061084747']}",{},"{'vac': ['<0.3809297978878021'], 'mit': ['<0.22787826508283615'], 'mcg': ['<1.0745768547058105'], 'gvh': ['<-1.2506408095359802'], 'nuc': ['>=-0.892691969871521'], 'alm': ['<1.0887774229049683', '>=-0.7664265334606171']}",{}
yeast,./data/numerical_only/balanced,"[[-0.14659999 -0.64522881  0.23044861 -0.15458419 -0.09759001 -0.0991314
   1.04045625 -0.5279193 ]]","{'vac': ['>=0.9539168179035187'], 'alm': ['>=-0.4043544828891754']}",{},{},"{'mit': ['<0.4656209349632263', '>=-0.19106683880090714'], 'gvh': ['>=-0.8470327854156494'], 'alm': ['<0.28815796971321106', '>=-0.5043666362762451']}",{},"{'mit': ['<0.5385862290859222', '>=-0.8477546274662018'], 'mcg': ['<2.5528711080551147'], 'gvh': ['<1.4373394846916199'], 'nuc': ['<-0.2684743404388428'], 'alm': ['>=-0.7055087387561798']}",{}
